field_name,suggested_hana_type,domain,presence_count,null_pct,max_length,sample_unique_count,dominant_kind,dominant_kind_ratio,source_tables,examples
delivery_date_if_prioritized,NVARCHAR(40),DM_TEXT,167,99.84,13,15,string,1.0,register,Dec'25 | Nov'25 | Apr'26
feed_type_global_i_e_single_feed_for_all_entities_entity_wise_regional_e_g_apac_emea_ams,NVARCHAR(40),DM_TEXT,150,99.85,18,3,string,1.0,register,Global | Country | Global single feed
feed_volume_no_of_records_colums_or_file_size,NVARCHAR(40),DM_TEXT,98,99.9,22,60,int,0.6122,register,15M+ | 3M+ | 500K
filter_logic,NVARCHAR(2000),DM_TEXT_MEDIUM,40,99.96,603,13,string,0.95,register,Current Year | Life to Date | Not Applicable <Check with Preethi first>
ftc_approval_received,NVARCHAR(8),DM_YN,101,99.9,45,3,enum_boolish,0.7426,register,Yes | BPC data already used - approval not required | No
life_cycle_status,NVARCHAR(40),DM_TEXT,217,99.79,15,6,string,1.0,"register,validations",Prioritized | Not Prioritized | Live
notes,NVARCHAR(255),DM_TEXT,24,99.98,208,4,string,1.0,register,"The policy is to onboard all fields from the underlying tables. Only the following fields actually required though: 0FISCYEAR , 0FISCPER, AUDIT, ENTITY, FLOW, GL_ACCT, RGROUP, ZVIEW, ZCUSTOM6, RTC_AMO | The policy is to onboard all fields from the underlying tables. Only the following fields actually required though: KURST, FCURR, TCURR, GDATU, UKURS | The policy is to onboard all fields from the underlying tables. Only the following fields actually required though: FROM_CCY , TO_CCY , VALID_FROM_DATE, FROM_FACT, TO_FACT, DERIVED_RATETYPE, MDCODE, RATETYPE,"
personal_data,NVARCHAR(8),DM_YN,125,99.88,2,1,enum_boolish,1.0,register,No
refresh_data_cut_implemented,NVARCHAR(40),DM_TEXT,114,99.89,10,4,string,1.0,register,"T+1 | T+11, T+20 | T+20"
refresh_frequency,NVARCHAR(500),DM_TEXT_MEDIUM,207,99.8,419,8,string,1.0,register,Monthly | Daily | Fortnightly
refresh_frequency_implemented,NVARCHAR(40),DM_TEXT,127,99.88,11,4,string,1.0,register,Daily | Monthly | Fortnightly
refresh_mechanism_delta_full_load_full_load_intially_delta_thereafter_etc,NVARCHAR(40),DM_TEXT,143,99.86,19,4,string,1.0,register,Full Load | Technology decision | Full
refresh_rate,NVARCHAR(40),DM_TEXT,10,99.99,21,10,string,1.0,validations,Daily | Weekly | Fortnightly
remarks,NVARCHAR(120),DM_TEXT,1971,98.08,106,5,string,1.0,"staging_schema,staging_schema_logs",Only db structure exists; data to be populated post keystone release | It is a file sourcing from PMI ODS and view added in BTP stagging as there is no sourcing from Aspire flow | Audit control table to process ODS files
requester,NVARCHAR(80),DM_TEXT,357,99.65,47,14,string,1.0,register,"Scott | Ang, May Yi | Srinivasan"
requirement,NVARCHAR(255),DM_TEXT,395,99.62,125,39,string,1.0,register,"Genesis Master, Mapping | Genesis Hierarchy | FM Trade Level"
sensitivity,NVARCHAR(40),DM_TEXT,125,99.88,12,3,string,1.0,"register,validations",Internal | Public | Confidential
source_data_format,NVARCHAR(40),DM_TEXT,138,99.87,19,3,string,1.0,register,Technology decision | Remote Table | Remote table
source_data_period_scope,NVARCHAR(40),DM_TEXT,133,99.87,40,9,string,1.0,register,Life to date versions | Current Year | Life to Date Version
source_field_name,NVARCHAR(120),DM_IDENTIFIER,9324,90.92,95,200,string,1.0,staging_schema,AS_OF_DATE | CONTEXT | REPORTING_DATE
source_schema,NVARCHAR(40),DM_TEXT,99,99.9,25,8,string,1.0,register,fdp_df_daas_prd | fdp_df_idq_exceptions_prd | SAPHANADB
source_system,NVARCHAR(40),DM_IDENTIFIER,56,99.95,15,55,string,1.0,validations,SCI | BPC | S4 GL
source_system_s,NVARCHAR(40),DM_TEXT,9719,90.54,27,60,string,1.0,"register,staging_schema",MDG (via S4) | MDG (via BW) | FPSL (Murex)
source_table_name_structured_location_for_unstructured_data,NVARCHAR(120),DM_TEXT,8619,91.61,96,200,string,1.0,"register,staging_schema",ZFIGENESIS | ZFIGENESIS_MAP | Genesis Hierachy table (TBC)
table_description,NVARCHAR(120),DM_TEXT,201,99.8,116,75,string,1.0,register,Genesis product table | Genesis Mapping Rules Table | Genesis hierachy table
tags_keywords,NVARCHAR(40),DM_TEXT,7,99.99,11,3,string,1.0,register,Genesis MDG | Genesis CFM | Genesis BSS
technical_debt_description,NVARCHAR(80),DM_TEXT,64,99.94,75,1,string,1.0,register,Moving all objects from client MI container to newly created iCon Container
unique_id,NVARCHAR(40),DM_IDENTIFIER,383,99.63,16,47,string,1.0,register,FS_032 | FS_033 | FS_071
use_case,NVARCHAR(40),DM_IDENTIFIER,9324,90.92,16,5,string,1.0,staging_schema,TREASURY_CAPITAL | Client MI | PC
yes_no,NVARCHAR(8),DM_YN,2,100.0,3,2,enum_boolish,1.0,validations,Yes | No
yes_no_not_applicable,NVARCHAR(20),DM_YN_NA,3,100.0,14,3,enum_boolish,1.0,validations,Yes | No | Not Applicable
